pid,description,objective,label,object_type,discipline,creator,frame,source,_date,license,study_status,order,layout,collection,thumbnail,manifest,full
obj1,"This worksheet is used in research consultations and small group teaching sessions. Students are invited to collaborate on the document, and, working with the librarian, fill in the chart to develop search terms and a search string that is then used in Omni for preliminary research.","Students will learn how to break down their research question into its key concepts, develop a table of search terms, and build a search string.",Starting Your Research Worksheet,Activity,Any,Chelsea Humphries,Research as Inquiry,,2021,CC-NC-SA,Undergraduate,0,qatar_item,qatar,"/img/derivatives/iiif/images/obj1/full/250,/0/default.jpg",/img/derivatives/iiif/obj1/manifest.json,"/img/derivatives/iiif/images/obj1/full/1140,/0/default.jpg"
obj2,"Each question in this activity is associated with one of the featured resources in the associated presentation. Students have an opportunity to test out resources, in a structured manner, while the librarian and prof is in the classroom. 20 minutes. ","Through this activity, students willpractice finding grey literature using library and open access databasespractice advanced search operators in Google",Wrangling Grey Literature Worksheets,Activity,Any,Cal Murgu,Information Has Value,,2021,CC-NC-SA,Undergraduate,1,qatar_item,qatar,"/img/derivatives/iiif/images/obj2/full/250,/0/default.jpg",/img/derivatives/iiif/obj2/manifest.json,"/img/derivatives/iiif/images/obj2/full/1140,/0/default.jpg"
obj11,,"•Describe strategies for finding
news articles in the public domain.•Explain the contextual nature of
authority in our current information landscape.•Identify motivations of news media
outlets.•Describe the role of both
conscious and unconscious factors that impact the news we engage with.•Understand that searching and
evaluating news is a strategic practice and requires a critical
mindset.•Apply techniques to help evaluate
news sources. •Apply techniques to help evaluate
numerical and graphical information presented in the news. ",Online Searching & News Evaluation,Presentation,Any,Colleen MacKinnon,Research as Inquiry,,2021,CC-NC-SA,Undergraduate,10,qatar_item,qatar,"/img/derivatives/iiif/images/obj11/full/250,/0/default.jpg",/img/derivatives/iiif/obj11/manifest.json,"/img/derivatives/iiif/images/obj11/full/1140,/0/default.jpg"
obj12,Asynchronous series of very short videos ,Breaking down research topic for searchingUsing OMNIOther places to searchAccessing things in Hathi TrustPrimary vs Secondary SourcesCitation Chaining,Library Research for Classics,Presentation,Classics,Evelyn Feldman,Authority Is Constructed and Contextual,https://h5pstudio.ecampusontario.ca/content/18475,2021,CC-NC-SA,Undergraduate,11,qatar_item,qatar,"/img/derivatives/iiif/images/obj12/full/250,/0/default.jpg",/img/derivatives/iiif/obj12/manifest.json,"/img/derivatives/iiif/images/obj12/full/1140,/0/default.jpg"
obj13,"This H5P presentation module includes:an interactive video introduction to the Sport Management liaison librarian, including linked contact informationthe Hartness Library's YouTube video on identifying popular and scholarly sources, with bookmarks for easy navigationa sorting exercise for students to distinguish popular from scholarly sourcesa video explaining the CRAAP test, with bookmarks for easy navigationfill-in-the-blanks and multiple choice questions applying the CRAAP test to various resources","By the end of this module, you will: Know which librarian to contact for research helpBe able to differentiate between popular and scholarly sourcesBe able to apply the CRAAP test to assess the evaluate popular/scholarly sources",SPMA 4P97: Identifying & Evaluating Popular and Scholarly Sources,Presentation,Any,Chelsea Humphries,Research as Inquiry,https://h5pstudio.ecampusontario.ca/content/20488,2021,CC-NC-SA,Undergraduate,12,qatar_item,qatar,"/img/derivatives/iiif/images/obj13/full/250,/0/default.jpg",/img/derivatives/iiif/obj13/manifest.json,"/img/derivatives/iiif/images/obj13/full/1140,/0/default.jpg"
obj14,,Introduce graduate students to what the library has to offer.,Graduate Orientation 2021,Presentation,Any,Ian Gordon,Information Has Value,https://docs.google.com/presentation/d/1XAyOjs14eMDWy9T65gZXOLNmoEbh9Dbik-zRr4PNlY4/edit?usp=sharing,2021,CC-NC-SA,Graduate,13,qatar_item,qatar,"/img/derivatives/iiif/images/obj14/full/250,/0/default.jpg",/img/derivatives/iiif/obj14/manifest.json,"/img/derivatives/iiif/images/obj14/full/1140,/0/default.jpg"
obj15,This two-part presentation was used for Pascal Lupien and his research assistants in the summer of 2021. The first session focused on the specific elements of a scoping review. The second session focused on how to manage references. ,"By the end of this session, students willbe able to differentiate between scoping reviews and other types of literature reviews (systematic and not)identify the constitutive parts of a scoping reviewrecognize the constitutive of a scoping review protocollearn methods to find and manage resources",Scoping Reviews Review,Presentation,Any,Cal Murgu,Authority Is Constructed and Contextual,,2021,CC-NC-SA,Graduate,14,qatar_item,qatar,"/img/derivatives/iiif/images/obj15/full/250,/0/default.jpg",/img/derivatives/iiif/obj15/manifest.json,"/img/derivatives/iiif/images/obj15/full/1140,/0/default.jpg"
obj16,Resource slide deck with many hyperlinks for students to refer to as they start searching for interdisciplinary/multimedia resources in the humanities,"Identify and distinguish primaryand secondary sourcesSearch Omni effectively usingfiltersDevelop a search strategyAccess useful databases andcollections of film, music, visual art,newspapers, archives, and moreFind help with citing unusualsources",HUMA 1P50 Library Presentation,Presentation,Any,Chelsea Humphries,Searching as Strategic Exploration,,2021,CC-NC-SA,Undergraduate,15,qatar_item,qatar,"/img/derivatives/iiif/images/obj16/full/250,/0/default.jpg",/img/derivatives/iiif/obj16/manifest.json,"/img/derivatives/iiif/images/obj16/full/1140,/0/default.jpg"
obj17,,none developed,Sources and strategies for feasibility analysis research,Presentation,Business,Linda Lowry,Research as Inquiry,,2021,CC-NC-SA,Undergraduate,16,qatar_item,qatar,"/img/derivatives/iiif/images/obj17_00/full/250,/0/default.jpg",/img/derivatives/iiif/obj17/manifest.json,"/img/derivatives/iiif/images/obj17_00/full/1140,/0/default.jpg"
obj18,,"By the end of this presentation, students will: Understand the role of the liaison librarianObtain an overview of library services for graduate studentsObtain an introduction to search tools and databasesObtain an overview of secondary data sources & finding aidsConsider how secondary data may be used in research",MSCM 5P01: Research methodology 1 - Finding secondary data & more!,Presentation,business,Linda Lowry,Authority Is Constructed and Contextual,,2021,CC-NC-SA,Undergraduate,17,qatar_item,qatar,"/img/derivatives/iiif/images/obj18/full/250,/0/default.jpg",/img/derivatives/iiif/obj18/manifest.json,"/img/derivatives/iiif/images/obj18/full/1140,/0/default.jpg"
